==============================================================================================================
 Медианный анализ по годам
 Сценарий: scenario_1 | Дата: 2026-05-21 18:39
==============================================================================================================

══════════════════════════════════════════════════════════════════════════════════════════════════════════════
Динамика медианных показателей (Калибровка 1950-2125)
══════════════════════════════════════════════════════════════════════════════════════════════════════════════

🔹 Метрика: PREVALENCE TOTAL PCT
--------------------------------------------------------------------------------------------------------------
Год    |      Медиана |   Δ к прошл. |     IQR (75-25) |            [Min - Max] | N runs
--------------------------------------------------------------------------------------------------------------
1950   |        0.53% |            - |        0.05% |            [0.0 - 0.0] |      2
1951   |        0.54% |       +0.01% |        0.05% |            [0.0 - 0.0] |      2
1952   |        0.54% |       -0.00% |        0.02% |            [0.0 - 0.0] |      2
1953   |        0.54% |       +0.00% |        0.01% |            [0.0 - 0.0] |      2
1954   |        0.54% |       -0.00% |        0.01% |            [0.0 - 0.0] |      2
1955   |        0.56% |       +0.02% |        0.02% |            [0.0 - 0.0] |      2
1956   |        0.57% |       +0.01% |        0.04% |            [0.0 - 0.0] |      2
1957   |        0.57% |       +0.00% |        0.04% |            [0.0 - 0.0] |      2
1958   |        0.59% |       +0.02% |        0.04% |            [0.0 - 0.0] |      2
1959   |        0.58% |       -0.00% |        0.05% |            [0.0 - 0.0] |      2
1960   |        0.59% |       +0.00% |        0.08% |            [0.0 - 0.0] |      2
1961   |        0.58% |       -0.01% |        0.07% |            [0.0 - 0.0] |      2
1962   |        0.56% |       -0.01% |        0.08% |            [0.0 - 0.0] |      2
1963   |        0.56% |       -0.01% |        0.10% |            [0.0 - 0.0] |      2
1964   |        0.58% |       +0.02% |        0.11% |            [0.0 - 0.0] |      2
1965   |        0.58% |       +0.00% |        0.10% |            [0.0 - 0.0] |      2
1966   |        0.58% |       +0.00% |        0.11% |            [0.0 - 0.0] |      2
1967   |        0.58% |       -0.01% |        0.12% |            [0.0 - 0.0] |      2
1968   |        0.55% |       -0.03% |        0.12% |            [0.0 - 0.0] |      2
1969   |        0.56% |       +0.01% |        0.12% |            [0.0 - 0.0] |      2
1970   |        0.56% |       +0.00% |        0.13% |            [0.0 - 0.0] |      2
1971   |        0.55% |       -0.01% |        0.11% |            [0.0 - 0.0] |      2
1972   |        0.54% |       -0.01% |        0.12% |            [0.0 - 0.0] |      2
1973   |        0.54% |       -0.01% |        0.11% |            [0.0 - 0.0] |      2
1974   |        0.55% |       +0.02% |        0.10% |            [0.0 - 0.0] |      2
1975   |        0.55% |       -0.00% |        0.10% |            [0.0 - 0.0] |      2
1976   |        0.56% |       +0.01% |        0.10% |            [0.0 - 0.0] |      2
1977   |        0.55% |       -0.01% |        0.09% |            [0.0 - 0.0] |      2
1978   |        0.55% |       -0.00% |        0.10% |            [0.0 - 0.0] |      2
1979   |        0.54% |       -0.01% |        0.09% |            [0.0 - 0.0] |      2
1980   |        0.55% |       +0.01% |        0.10% |            [0.0 - 0.0] |      2
1981   |        0.55% |       +0.01% |        0.09% |            [0.0 - 0.0] |      2
1982   |        0.54% |       -0.01% |        0.09% |            [0.0 - 0.0] |      2
1983   |        0.54% |       +0.00% |        0.09% |            [0.0 - 0.0] |      2
1984   |        0.54% |       -0.00% |        0.08% |            [0.0 - 0.0] |      2
1985   |        0.54% |       +0.00% |        0.10% |            [0.0 - 0.0] |      2
1986   |        0.53% |       -0.02% |        0.10% |            [0.0 - 0.0] |      2
1987   |        0.51% |       -0.02% |        0.08% |            [0.0 - 0.0] |      2
1988   |        0.51% |       +0.00% |        0.08% |            [0.0 - 0.0] |      2
1989   |        0.52% |       +0.01% |        0.08% |            [0.0 - 0.0] |      2
1990   |        0.52% |       +0.00% |        0.09% |            [0.0 - 0.0] |      2
1991   |        0.50% |       -0.02% |        0.09% |            [0.0 - 0.0] |      2
1992   |        0.50% |       +0.00% |        0.10% |            [0.0 - 0.0] |      2
1993   |        0.50% |       +0.00% |        0.10% |            [0.0 - 0.0] |      2
1994   |        0.49% |       -0.01% |        0.09% |            [0.0 - 0.0] |      2
1995   |        0.49% |       +0.00% |        0.09% |            [0.0 - 0.0] |      2
1996   |        0.48% |       -0.01% |        0.08% |            [0.0 - 0.0] |      2
1997   |        0.49% |       +0.01% |        0.09% |            [0.0 - 0.0] |      2
1998   |        0.48% |       -0.00% |        0.09% |            [0.0 - 0.0] |      2
1999   |        0.48% |       -0.00% |        0.08% |            [0.0 - 0.0] |      2
2000   |        0.48% |       -0.00% |        0.09% |            [0.0 - 0.0] |      2
2001   |        0.48% |       +0.00% |        0.08% |            [0.0 - 0.0] |      2
2002   |        0.47% |       -0.00% |        0.08% |            [0.0 - 0.0] |      2
2003   |        0.47% |       +0.00% |        0.08% |            [0.0 - 0.0] |      2
2004   |        0.48% |       +0.00% |        0.07% |            [0.0 - 0.0] |      2
2005   |        0.47% |       -0.00% |        0.08% |            [0.0 - 0.0] |      2
2006   |        0.47% |       -0.00% |        0.07% |            [0.0 - 0.0] |      2
2007   |        0.47% |       +0.00% |        0.06% |            [0.0 - 0.0] |      2
2008   |        0.48% |       +0.00% |        0.07% |            [0.0 - 0.0] |      2
2009   |        0.48% |       +0.00% |        0.08% |            [0.0 - 0.0] |      2
2010   |        0.48% |       -0.00% |        0.08% |            [0.0 - 0.0] |      2
